agent_id,origin_nid,destin_nid,hour,quarter,tour_category,person_id
0,2355,195,7.0,0.0,MANDATORY,5582999.0
1,2355,2260,7.0,3.0,MANDATORY,2961231.0
2,2355,1549,7.0,2.0,MANDATORY,5244459.0
3,1098,2354,7.0,2.0,MANDATORY,5244459.0
4,2355,1355,7.0,1.0,MANDATORY,5244459.0
5,2355,2073,7.0,5.0,MANDATORY,5244667.0
6,2355,2026,8.0,4.0,MANDATORY,1714081.0
7,2355,1667,8.0,5.0,MANDATORY,5583377.0
8,2355,1811,7.0,0.0,MANDATORY,3166732.0
9,2355,486,8.0,1.0,MANDATORY,3166705.0
10,2355,2404,8.0,3.0,MANDATORY,2961297.0
11,2355,1970,7.0,2.0,MANDATORY,5213675.0
12,2355,103,7.0,4.0,MANDATORY,5037092.0
13,2355,520,8.0,1.0,MANDATORY,2300534.0
14,2355,2427,8.0,2.0,MANDATORY,598616.0
15,2355,2286,7.0,1.0,MANDATORY,7833688.0
16,2355,2024,8.0,3.0,MANDATORY,3362645.0
17,2355,1135,7.0,3.0,MANDATORY,5583715.0
18,2355,1274,7.0,5.0,MANDATORY,5585034.0
19,2355,2375,8.0,5.0,MANDATORY,7755703.0
20,2355,1586,7.0,4.0,MANDATORY,7755796.0
21,2355,2686,7.0,5.0,MANDATORY,3625448.0
22,2355,1707,7.0,5.0,MANDATORY,105151.0
23,2355,2092,8.0,2.0,MANDATORY,4308768.0
24,2355,1746,7.0,1.0,MANDATORY,3363418.0
25,2355,1798,8.0,3.0,MANDATORY,5245595.0
26,2355,503,8.0,5.0,MANDATORY,2301034.0
27,2355,248,8.0,3.0,MANDATORY,5586039.0
28,2355,833,7.0,1.0,MANDATORY,5587041.0
29,2355,610,7.0,1.0,MANDATORY,1956732.0
30,2355,2320,8.0,1.0,MANDATORY,5586533.0
31,2355,2582,7.0,5.0,MANDATORY,5794180.0
32,2355,1984,7.0,5.0,MANDATORY,319353.0
33,2355,282,8.0,3.0,MANDATORY,6106492.0
34,2355,856,8.0,1.0,MANDATORY,5587877.0
35,2173,1130,8.0,1.0,MANDATORY,5587334.0
36,2355,2025,8.0,5.0,MANDATORY,5588505.0
37,2355,2091,7.0,1.0,MANDATORY,6106582.0
38,2355,1287,8.0,3.0,MANDATORY,3884233.0
39,2355,1271,7.0,1.0,MANDATORY,2301234.0
40,2355,1995,8.0,4.0,MANDATORY,5045964.0
41,2355,284,8.0,4.0,MANDATORY,3048290.0
42,2355,1656,7.0,3.0,MANDATORY,1664190.0
43,2355,1879,8.0,4.0,MANDATORY,2301252.0
44,2355,2452,7.0,3.0,MANDATORY,5975223.0
45,2355,1784,7.0,4.0,MANDATORY,1407617.0
46,2355,53,7.0,1.0,MANDATORY,5589517.0
47,2355,732,8.0,2.0,MANDATORY,256961.0
48,2355,1205,7.0,3.0,MANDATORY,4723528.0
49,2355,561,8.0,4.0,MANDATORY,5589881.0
50,2355,1658,7.0,0.0,MANDATORY,3167797.0
51,2355,1257,8.0,0.0,MANDATORY,7512861.0
52,2355,2606,8.0,2.0,INDIVIDUAL_NON_MANDATORY,5141142.0
53,2355,2260,7.0,1.0,MANDATORY,5141162.0
54,2355,256,7.0,2.0,MANDATORY,5590598.0
55,2355,192,7.0,1.0,MANDATORY,2187183.0
56,2355,468,7.0,1.0,MANDATORY,6106928.0
57,2355,2632,7.0,0.0,MANDATORY,5246763.0
58,2355,1851,8.0,1.0,MANDATORY,5246875.0
59,2355,1707,8.0,2.0,MANDATORY,4968884.0
60,2355,97,7.0,1.0,MANDATORY,3628391.0
61,2355,2131,8.0,0.0,MANDATORY,6107133.0
62,2355,1808,7.0,2.0,INDIVIDUAL_NON_MANDATORY,6595832.0
63,2355,549,8.0,2.0,MANDATORY,2187219.0
64,2355,1598,7.0,2.0,MANDATORY,5247103.0
65,2355,1056,7.0,0.0,MANDATORY,5592855.0
66,2355,1674,7.0,2.0,MANDATORY,3049246.0
67,2355,1512,7.0,0.0,MANDATORY,6595888.0
68,2355,2001,8.0,4.0,MANDATORY,3629196.0
69,2355,512,7.0,2.0,MANDATORY,5247477.0
70,2355,1494,7.0,1.0,MANDATORY,1892688.0
71,2355,2292,8.0,5.0,MANDATORY,3884486.0
72,2355,529,8.0,3.0,MANDATORY,3629674.0
73,2355,2379,7.0,2.0,MANDATORY,5700110.0
74,1884,1566,8.0,2.0,MANDATORY,5594562.0
75,2355,2713,7.0,4.0,MANDATORY,3366262.0
76,2355,1974,8.0,0.0,MANDATORY,1959586.0
77,2355,246,8.0,4.0,MANDATORY,107574.0
78,2355,276,7.0,4.0,MANDATORY,5976382.0
79,2355,2167,8.0,4.0,MANDATORY,1959464.0
80,2355,1580,8.0,3.0,MANDATORY,3630332.0
81,2355,1844,7.0,4.0,MANDATORY,7457298.0
82,2355,1733,8.0,4.0,MANDATORY,1132227.0
83,2355,833,7.0,4.0,INDIVIDUAL_NON_MANDATORY,805799.0
84,2355,2536,7.0,3.0,MANDATORY,599964.0
85,2355,1086,8.0,1.0,MANDATORY,5596214.0
86,2355,1711,8.0,5.0,MANDATORY,809094.0
87,2355,1891,8.0,0.0,MANDATORY,808390.0
88,2355,129,7.0,3.0,MANDATORY,1133112.0
89,2355,638,8.0,4.0,MANDATORY,806661.0
90,2355,1878,7.0,1.0,MANDATORY,4724691.0
91,2355,221,7.0,5.0,INDIVIDUAL_NON_MANDATORY,1133061.0
92,1593,2354,7.0,0.0,INDIVIDUAL_NON_MANDATORY,1133061.0
93,2355,777,7.0,5.0,MANDATORY,805993.0
94,2355,2336,8.0,3.0,INDIVIDUAL_NON_MANDATORY,206334.0
95,2355,2672,8.0,4.0,MANDATORY,1132922.0
96,2355,745,7.0,4.0,MANDATORY,1959692.0
97,2424,2590,8.0,3.0,MANDATORY,107925.0
98,2355,2561,8.0,5.0,INDIVIDUAL_NON_MANDATORY,808720.0
99,2355,1672,7.0,5.0,MANDATORY,1215165.0
100,2355,519,8.0,2.0,MANDATORY,808137.0
101,2355,18,8.0,3.0,INDIVIDUAL_NON_MANDATORY,496506.0
102,2510,84,8.0,5.0,INDIVIDUAL_NON_MANDATORY,496506.0
103,2355,1241,7.0,0.0,MANDATORY,860680.0
104,2355,694,7.0,3.0,INDIVIDUAL_NON_MANDATORY,695477.0
105,2712,1542,7.0,5.0,INDIVIDUAL_NON_MANDATORY,695477.0
106,2355,1579,8.0,0.0,INDIVIDUAL_NON_MANDATORY,806540.0
107,2355,285,8.0,3.0,MANDATORY,599998.0
108,2355,273,8.0,1.0,MANDATORY,600063.0
109,2355,2549,7.0,1.0,MANDATORY,1216631.0
110,2355,352,8.0,4.0,INDIVIDUAL_NON_MANDATORY,600119.0
111,2355,2708,7.0,4.0,MANDATORY,794858.0
112,2355,1060,8.0,0.0,MANDATORY,321067.0
113,2355,2027,7.0,3.0,MANDATORY,653205.0
114,2355,1692,8.0,0.0,INDIVIDUAL_NON_MANDATORY,1216792.0
115,2355,353,8.0,2.0,MANDATORY,977175.0
116,2355,271,8.0,2.0,MANDATORY,3631175.0
117,2355,453,8.0,2.0,MANDATORY,5062253.0
118,2355,1896,8.0,2.0,MANDATORY,5976519.0
119,2355,760,8.0,2.0,INDIVIDUAL_NON_MANDATORY,1960384.0
120,2355,865,8.0,0.0,MANDATORY,5598371.0
121,2355,843,7.0,4.0,MANDATORY,2302443.0
122,2355,984,8.0,3.0,MANDATORY,5598315.0
123,2355,2189,8.0,1.0,MANDATORY,7457873.0
124,2355,278,7.0,4.0,MANDATORY,6108503.0
125,1072,654,7.0,1.0,AT_WORK,6108503.0
126,1071,104,8.0,5.0,AT_WORK,6108503.0
127,2355,1383,8.0,3.0,MANDATORY,7458002.0
128,2355,171,7.0,4.0,MANDATORY,6128911.0
129,2355,169,7.0,2.0,MANDATORY,5700309.0
130,2355,262,7.0,3.0,MANDATORY,6108389.0
131,2355,2502,7.0,3.0,MANDATORY,6108767.0
132,2355,2479,7.0,3.0,INDIVIDUAL_NON_MANDATORY,3367565.0
133,2355,571,7.0,3.0,MANDATORY,5248801.0
134,2355,527,8.0,2.0,MANDATORY,5598777.0
135,1697,2354,8.0,3.0,AT_WORK,5598777.0
136,2355,1926,7.0,1.0,MANDATORY,5598697.0
137,2424,2607,8.0,5.0,AT_WORK,3632507.0
138,2355,1971,8.0,2.0,MANDATORY,5599882.0
139,2355,1816,7.0,0.0,MANDATORY,7459131.0
140,2355,278,8.0,4.0,MANDATORY,1961148.0
141,2355,2330,8.0,5.0,MANDATORY,7155322.0
142,2355,1264,7.0,3.0,MANDATORY,3488589.0
143,2355,1552,7.0,4.0,MANDATORY,5601147.0
144,2355,2436,8.0,2.0,MANDATORY,7459532.0
145,2355,1616,7.0,0.0,MANDATORY,7155523.0
146,2355,643,7.0,5.0,MANDATORY,5601736.0
147,2355,110,8.0,5.0,INDIVIDUAL_NON_MANDATORY,3951376.0
148,2355,89,7.0,3.0,MANDATORY,6270157.0
149,2355,2696,8.0,0.0,MANDATORY,5910353.0
150,2355,1987,8.0,0.0,MANDATORY,2561616.0
151,2355,2278,7.0,5.0,MANDATORY,3634075.0
152,2355,1760,8.0,1.0,MANDATORY,3488623.0
153,2173,990,7.0,1.0,MANDATORY,1722839.0
154,2355,164,7.0,4.0,MANDATORY,5347096.0
155,2355,1406,7.0,1.0,MANDATORY,5347115.0
156,2355,1599,8.0,0.0,MANDATORY,1723004.0
157,2355,2661,8.0,3.0,MANDATORY,7572978.0
158,2355,1326,8.0,4.0,MANDATORY,3284192.0
159,2355,2542,8.0,4.0,MANDATORY,4474033.0
160,2355,1456,7.0,0.0,MANDATORY,1723246.0
161,2355,34,8.0,0.0,MANDATORY,5347370.0
162,2355,1009,8.0,4.0,MANDATORY,4969307.0
163,2355,1092,8.0,5.0,MANDATORY,4309732.0
164,2355,1020,7.0,0.0,INDIVIDUAL_NON_MANDATORY,5331868.0
165,2355,625,7.0,2.0,MANDATORY,5347453.0
166,2355,1863,8.0,5.0,MANDATORY,3368844.0
167,2355,845,7.0,0.0,MANDATORY,7590885.0
168,2355,1209,8.0,1.0,MANDATORY,5805049.0
169,2355,544,7.0,3.0,MANDATORY,4776982.0
170,2355,1288,8.0,2.0,MANDATORY,4498124.0
171,2355,1896,8.0,5.0,MANDATORY,5985775.0
172,2355,701,8.0,1.0,MANDATORY,3778107.0
173,2355,1091,7.0,5.0,MANDATORY,5603220.0
174,2355,102,7.0,5.0,INDIVIDUAL_NON_MANDATORY,1664463.0
175,2355,1501,7.0,5.0,MANDATORY,4498210.0
176,2086,2354,8.0,3.0,AT_WORK,6819608.0
177,2355,1244,7.0,5.0,MANDATORY,6597734.0
178,2355,406,8.0,3.0,MANDATORY,4309924.0
179,2355,1901,8.0,4.0,MANDATORY,2462991.0
180,2355,1973,7.0,2.0,MANDATORY,5910975.0
181,2355,691,7.0,3.0,MANDATORY,3782775.0
182,2355,2609,8.0,4.0,MANDATORY,3128527.0
183,2355,2363,8.0,0.0,MANDATORY,1646143.0
184,2355,2440,8.0,3.0,MANDATORY,7658416.0
185,2355,1732,7.0,2.0,MANDATORY,5183288.0
186,2355,1748,8.0,4.0,MANDATORY,7156463.0
187,2355,1317,7.0,1.0,MANDATORY,5604269.0
188,2355,310,8.0,2.0,MANDATORY,5985989.0
189,2355,1213,8.0,3.0,INDIVIDUAL_NON_MANDATORY,4029137.0
190,2355,2219,7.0,0.0,MANDATORY,7658467.0
191,2355,810,7.0,5.0,MANDATORY,5986000.0
192,2355,461,8.0,5.0,MANDATORY,6598298.0
193,2355,564,7.0,4.0,MANDATORY,1724526.0
194,2355,1045,8.0,3.0,MANDATORY,7156602.0
195,2355,2257,7.0,3.0,MANDATORY,1962757.0
196,2355,1625,8.0,0.0,MANDATORY,5604758.0
197,2355,1021,7.0,2.0,MANDATORY,2187860.0
198,2355,1229,7.0,0.0,INDIVIDUAL_NON_MANDATORY,5911516.0
199,531,1542,7.0,5.0,INDIVIDUAL_NON_MANDATORY,5911516.0
200,2355,2542,8.0,5.0,MANDATORY,3885559.0
201,2355,953,8.0,0.0,MANDATORY,3885589.0
202,2355,217,8.0,3.0,MANDATORY,5605166.0
203,2355,1790,8.0,3.0,MANDATORY,3636838.0
204,2355,2575,7.0,2.0,MANDATORY,1962923.0
205,2355,2349,7.0,3.0,MANDATORY,7186505.0
206,2355,2578,8.0,1.0,INDIVIDUAL_NON_MANDATORY,4969473.0
207,2355,1491,7.0,5.0,MANDATORY,4969430.0
208,2355,2146,7.0,2.0,MANDATORY,4777258.0
209,2355,783,8.0,0.0,MANDATORY,7690664.0
210,2355,1650,7.0,3.0,MANDATORY,5912058.0
211,2355,1964,7.0,4.0,MANDATORY,7629542.0
212,2355,1544,8.0,3.0,MANDATORY,3637392.0
213,2355,1597,7.0,0.0,MANDATORY,5606002.0
214,2355,740,8.0,3.0,MANDATORY,5249910.0
215,2355,1624,7.0,4.0,MANDATORY,7613079.0
216,2355,691,8.0,5.0,MANDATORY,3051057.0
217,2355,243,7.0,4.0,MANDATORY,7187229.0
218,2355,17,8.0,2.0,MANDATORY,5606832.0
219,2355,390,8.0,4.0,MANDATORY,3228500.0
220,42,2431,8.0,5.0,AT_WORK,6270899.0
221,2355,626,7.0,4.0,MANDATORY,7514153.0
222,1015,2354,7.0,2.0,MANDATORY,7461660.0
223,2173,1300,7.0,0.0,MANDATORY,3782826.0
224,2355,938,7.0,0.0,MANDATORY,4906083.0
225,2355,1529,8.0,2.0,MANDATORY,4310531.0
226,2355,1932,7.0,3.0,MANDATORY,5609655.0
227,2355,1736,7.0,4.0,MANDATORY,7758885.0
228,2355,1489,7.0,3.0,MANDATORY,3328453.0
229,2355,2240,8.0,2.0,MANDATORY,7462380.0
230,2355,904,7.0,2.0,INDIVIDUAL_NON_MANDATORY,3117106.0
231,2355,1301,8.0,0.0,MANDATORY,4474360.0
232,2355,1888,7.0,3.0,MANDATORY,3640468.0
233,2355,747,7.0,1.0,MANDATORY,4906397.0
234,2355,1140,8.0,4.0,MANDATORY,3641410.0
235,2355,98,8.0,3.0,MANDATORY,5611900.0
236,2355,1125,8.0,4.0,INDIVIDUAL_NON_MANDATORY,1728715.0
237,2556,2354,8.0,3.0,INDIVIDUAL_NON_MANDATORY,1728715.0
238,2355,874,7.0,1.0,MANDATORY,3641900.0
239,2355,2248,8.0,4.0,MANDATORY,7463491.0
240,2355,55,7.0,0.0,MANDATORY,5612184.0
241,2355,2704,7.0,3.0,MANDATORY,5612111.0
242,2355,2698,7.0,3.0,MANDATORY,1728953.0
243,2355,2075,8.0,4.0,MANDATORY,5250901.0
244,2355,498,7.0,0.0,MANDATORY,3642691.0
245,2355,1636,7.0,2.0,MANDATORY,2154212.0
246,418,1542,7.0,0.0,MANDATORY,2154212.0
247,2355,587,7.0,5.0,MANDATORY,6271152.0
248,2355,2561,7.0,5.0,MANDATORY,1543537.0
249,2355,366,7.0,2.0,MANDATORY,5006504.0
250,2355,920,8.0,3.0,MANDATORY,5251081.0
251,2355,745,8.0,5.0,MANDATORY,1967746.0
252,369,2354,8.0,2.0,AT_WORK,1967746.0
253,2355,309,8.0,4.0,AT_WORK,1967746.0
254,2355,669,7.0,1.0,MANDATORY,5613663.0
255,2355,1846,7.0,1.0,INDIVIDUAL_NON_MANDATORY,3489433.0
256,2355,1613,7.0,4.0,MANDATORY,5251102.0
257,2355,1460,7.0,0.0,MANDATORY,3051404.0
258,2355,2568,7.0,0.0,MANDATORY,7633045.0
259,2355,1720,8.0,3.0,MANDATORY,5349285.0
260,2355,1842,7.0,5.0,MANDATORY,5349387.0
261,2355,1454,8.0,0.0,MANDATORY,5349468.0
262,2355,1802,7.0,4.0,MANDATORY,6271488.0
263,2355,1703,7.0,4.0,MANDATORY,3644317.0
264,2355,1903,7.0,0.0,MANDATORY,3463713.0
265,1298,1376,7.0,3.0,MANDATORY,3463716.0
266,2355,103,7.0,4.0,MANDATORY,5805968.0
267,2355,1672,7.0,1.0,MANDATORY,5614896.0
268,2355,1762,7.0,0.0,MANDATORY,1968313.0
269,2355,906,8.0,4.0,MANDATORY,5110384.0
270,2355,629,7.0,0.0,MANDATORY,5349717.0
271,2355,2020,7.0,2.0,MANDATORY,7464603.0
272,2355,36,7.0,4.0,INDIVIDUAL_NON_MANDATORY,5333297.0
273,2355,2684,8.0,4.0,MANDATORY,7759691.0
274,2355,201,7.0,1.0,MANDATORY,2501329.0
275,2355,188,8.0,1.0,MANDATORY,7465962.0
276,2355,222,8.0,2.0,MANDATORY,4311641.0
277,943,2354,8.0,0.0,MANDATORY,4311641.0
278,2355,2288,8.0,1.0,AT_WORK,7465911.0
279,2355,1082,7.0,2.0,MANDATORY,6602493.0
280,2355,1700,8.0,5.0,MANDATORY,5616889.0
281,2355,111,7.0,1.0,INDIVIDUAL_NON_MANDATORY,5617505.0
282,2355,641,8.0,2.0,MANDATORY,115559.0
283,2355,981,8.0,3.0,MANDATORY,4727721.0
284,2355,269,7.0,5.0,MANDATORY,3887866.0
285,2355,956,7.0,1.0,MANDATORY,5977147.0
286,2355,1263,8.0,5.0,MANDATORY,4031252.0
287,2355,1648,8.0,1.0,MANDATORY,2063484.0
288,2355,2065,7.0,1.0,MANDATORY,4909337.0
289,2355,2193,7.0,1.0,MANDATORY,1218954.0
290,2355,1943,7.0,3.0,MANDATORY,5619595.0
291,2355,1655,7.0,3.0,MANDATORY,3647714.0
292,2355,319,7.0,1.0,MANDATORY,5917529.0
293,2355,8,7.0,4.0,MANDATORY,5917625.0
294,2355,2554,8.0,0.0,MANDATORY,3888149.0
295,2355,1938,7.0,1.0,MANDATORY,5252135.0
296,2355,742,7.0,1.0,MANDATORY,3888201.0
297,2355,981,8.0,0.0,INDIVIDUAL_NON_MANDATORY,3648491.0
